series0
x;y;
0;-60.36;
1;-64.61;
2;-70.35;
3;-72.11;
4;-73.86;
5;-78.57;
6;-79.97;
7;-82.56;
8;-83.72;
9;-84.79;
10;-86.68;
11;-88.33;
12;-89.52;
13;-90.12;
14;-90.52;
15;-90.72;
16;-90.76;
17;-90.85;
18;-90.86;
19;-90.80;
20;-90.73;
21;-90.65;
22;-90.60;
23;-90.54;
24;-90.54;
25;-90.32;
26;-89.74;
27;-89.74;
28;-89.04;
29;-88.03;
30;-88.03;
31;-86.95;
32;-85.83;
33;-84.59;
34;-83.25;
35;-81.75;
36;-80.29;
37;-80.29;
38;-78.73;
39;-76.97;
40;-75.40;
41;-73.50;
42;-71.54;
43;-69.74;
44;-67.76;
45;-65.73;
46;-63.66;
47;-61.51;
48;-61.51;
49;-59.14;
50;-56.91;
51;-54.83;
52;-53.04;
53;-53.04;
54;-50.58;
55;-47.99;
56;-45.28;
57;-42.42;
58;-39.86;
59;-37.14;
60;-34.18;
61;-31.43;
62;-28.63;
63;-22.97;
64;-20.23;
65;-20.23;
66;-17.37;
67;-14.74;
68;-12.07;
69;-9.27;
70;-6.35;
71;-3.37;
72;-0.46;
73;2.45;
74;2.45;
75;8.17;
76;11.04;
77;13.93;
78;16.80;
79;22.44;
80;25.22;
81;28.00;
82;30.71;
83;36.11;
84;38.73;
85;41.39;
86;46.41;
87;48.87;
88;51.27;
89;55.91;
90;58.16;
91;60.46;
92;64.55;
93;66.58;
94;68.48;
95;72.09;
96;73.83;
97;75.55;
98;77.05;
99;79.92;
100;81.30;
101;82.61;
102;85.78;
103;86.60;
104;87.51;
105;88.93;
106;89.48;
107;89.87;
108;90.24;
109;90.74;
110;90.88;
111;90.88;
112;90.85;
113;90.50;
114;90.36;
115;90.35;
116;90.34;
117;90.20;
118;90.20;
119;89.69;
120;89.04;
121;89.04;
122;88.19;
123;87.10;
124;85.99;
125;85.99;
126;84.76;
127;83.47;
128;81.97;
129;81.97;
130;80.50;
131;78.98;
132;77.19;
133;77.19;
134;75.62;
135;73.70;
136;71.76;
137;71.76;
138;69.97;
139;67.82;
140;65.88;
141;65.88;
142;61.64;
143;59.41;
144;57.15;
145;54.88;
146;53.04;
147;50.59;
148;48.03;
149;45.33;
150;42.55;
151;40.00;
152;37.18;
153;37.18;
154;34.22;
155;31.47;
156;28.69;
157;28.69;
158;25.84;
159;23.07;
160;20.29;
161;17.35;
162;14.57;
163;11.90;
164;9.26;
165;6.38;
166;6.38;
167;3.40;
168;0.46;
169;-2.50;
170;-5.43;
171;-8.30;
172;-8.30;
173;-11.15;
174;-14.00;
175;-16.88;
176;-19.68;
177;-22.50;
178;-22.50;
179;-25.30;
180;-28.04;
181;-30.77;
182;-30.77;
183;-33.49;
184;-36.13;
185;-38.77;
186;-41.39;
187;-43.90;
188;-46.38;
189;-48.85;
190;-51.24;
191;-53.60;
192;-53.60;
193;-55.93;
194;-55.93;
195;-58.15;
196;-60.33;
197;-62.45;
198;-64.57;
199;-66.55;
200;-68.44;
201;-70.32;
202;-72.08;
203;-73.84;
204;-75.48;
205;-77.05;
206;-78.55;
207;-79.94;
208;-81.30;
209;-82.54;
210;-83.71;
211;-84.77;
212;-85.81;
213;-86.68;
214;-86.68;
215;-87.54;
216;-88.32;
217;-88.32;
218;-89.00;
219;-89.50;
220;-89.50;
221;-90.11;
222;-90.53;
223;-90.64;
224;-90.73;
225;-90.79;
226;-90.90;
227;-90.92;
228;-90.87;
229;-90.78;
230;-90.71;
231;-90.64;
232;-90.59;
233;-90.34;
234;-89.75;
235;-89.03;
236;-88.04;
237;-86.97;
238;-86.97;
239;-85.83;
240;-84.59;
241;-84.59;
242;-83.24;
243;-81.74;
244;-80.33;
245;-78.74;
246;-77.00;
247;-75.43;
248;-73.51;
249;-71.56;
250;-69.78;
251;-67.77;
252;-65.75;
253;-63.71;
254;-61.52;
255;-59.18;
256;-56.96;
257;-54.85;
258;-53.08;
259;-50.66;
260;-48.04;
261;-48.04;
262;-45.34;
263;-42.47;
264;-39.90;
265;-37.16;
266;-34.08;
267;-31.24;
268;-28.54;
269;-28.54;
270;-25.80;
271;-23.03;
272;-20.31;
273;-17.57;
274;-15.00;
275;-12.18;
276;-9.32;
277;-6.32;
278;-3.38;
279;-0.47;
280;2.38;
281;5.27;
282;5.27;
283;8.10;
284;10.97;
285;13.86;
286;16.72;
287;16.72;
288;22.39;
289;25.17;
290;27.92;
291;30.65;
292;33.35;
293;36.05;
294;38.66;
295;38.66;
296;41.34;
297;43.84;
298;46.35;
299;48.85;
300;51.22;
301;53.64;
302;55.86;
303;58.12;
304;60.40;
305;60.40;
306;62.44;
307;64.54;
308;66.53;
309;68.44;
310;68.44;
311;72.10;
312;73.79;
313;75.48;
314;76.99;
315;76.99;
316;78.54;
317;79.86;
318;81.28;
319;82.57;
320;82.57;
321;84.80;
322;85.75;
323;86.58;
324;86.58;
325;87.47;
326;88.26;
327;88.93;
328;89.48;
329;89.48;
330;90.25;
331;90.53;
332;90.76;
333;90.87;
334;90.88;
335;90.84;
336;90.84;
337;90.70;
338;90.51;
339;90.37;
340;90.36;
341;90.21;
342;89.71;
343;89.06;
344;89.06;
345;88.21;
346;87.13;
347;86.01;
348;84.79;
349;83.49;
350;83.49;
351;81.99;
352;80.56;
353;79.00;
354;77.25;
355;77.25;
356;73.73;
357;71.83;
358;70.01;
359;67.86;
360;65.91;
361;63.82;
362;61.69;
363;59.43;
364;57.19;
365;54.92;
366;54.92;
367;53.07;
368;50.65;
369;48.07;
370;45.38;
371;42.59;
372;40.05;
373;34.29;
374;31.53;
375;31.53;
376;28.75;
377;25.89;
378;23.12;
379;23.12;
380;17.39;
381;14.60;
382;11.91;
383;11.91;
384;6.43;
385;3.48;
386;0.53;
387;-2.44;
388;-5.37;
389;-8.25;
390;-11.09;
391;-13.95;
392;-16.82;
393;-16.82;
394;-19.62;
395;-22.44;
396;-25.23;
397;-27.98;
398;-30.71;
399;-33.43;
400;-36.09;
401;-38.73;
402;-38.73;
403;-41.34;
404;-43.85;
405;-46.33;
406;-48.79;
407;-51.18;
408;-53.55;
409;-53.55;
410;-58.11;
411;-60.30;
412;-62.41;
413;-62.41;
414;-64.53;
415;-66.53;
416;-68.42;
417;-70.27;
418;-72.05;
419;-73.79;
420;-75.44;
421;-77.02;
422;-78.52;
423;-79.92;
424;-79.92;
425;-81.28;
426;-82.52;
427;-83.67;
428;-84.75;
429;-85.78;
430;-86.65;
431;-88.30;
432;-89.00;
433;-89.49;
434;-89.49;
435;-90.09;
436;-90.52;
437;-90.64;
438;-90.64;
439;-90.77;
440;-90.86;
441;-90.87;
442;-90.81;
443;-90.73;
444;-90.67;
445;-90.67;
446;-90.61;
447;-90.55;
448;-90.34;
449;-89.76;
450;-89.06;
451;-88.07;
452;-86.99;
453;-85.87;
454;-83.29;
455;-81.80;
456;-80.39;
457;-78.79;
458;-77.07;
459;-77.07;
460;-75.50;
461;-73.57;
462;-71.62;
463;-69.83;
464;-67.80;
465;-65.79;
466;-63.77;
467;-61.58;
468;-57.00;
469;-54.89;
470;-53.12;
471;-50.70;
472;-48.10;
473;-45.40;
474;-42.52;
475;-39.96;
476;-37.23;
477;-34.16;
478;-31.35;
479;-28.64;
480;-23.10;
481;-20.35;
482;-20.35;
483;-17.55;
484;-14.96;
485;-12.23;
486;-9.39;
487;-6.43;
488;-6.43;
489;-0.53;
490;5.22;
491;8.18;
492;8.18;
493;10.91;
494;13.81;
495;16.67;
496;16.67;
497;22.32;
498;27.88;
499;30.60;
500;33.30;
501;35.99;
502;35.99;
503;38.60;
504;41.28;
505;43.79;
506;46.29;
507;48.81;
508;51.16;
509;53.60;
510;55.82;
511;58.07;
512;60.36;
513;60.36;
514;64.52;
515;68.39;
516;70.27;
517;72.09;
518;73.77;
519;76.97;
520;78.47;
521;78.47;
522;79.79;
523;82.54;
524;83.61;
525;84.79;
526;85.73;
527;86.58;
528;87.44;
529;88.92;
530;89.46;
531;89.87;
532;90.23;
533;90.55;
534;90.74;
535;90.89;
536;90.83;
537;90.51;
538;90.34;
539;90.32;
540;90.34;
541;89.72;
542;89.72;
543;88.23;
544;87.16;
545;86.04;
546;84.81;
547;82.01;
548;80.60;
549;79.04;
550;77.28;
551;73.78;
552;73.78;
553;70.05;
554;67.89;
555;65.95;
556;63.88;
557;59.49;
558;57.24;
559;54.95;
560;53.12;
561;48.13;
562;45.42;
563;42.68;
564;40.08;
565;37.34;
566;34.36;
567;28.79;
568;25.96;
569;23.19;
570;20.41;
571;17.46;
572;14.66;
573;9.36;
574;9.36;
575;3.55;
576;0.59;
577;-2.39;
578;-5.31;
579;-11.02;
580;-16.78;
581;-19.58;
582;-22.39;
583;-25.19;
584;-25.19;
585;-30.65;
586;-33.37;
587;-36.03;
588;-38.67;
589;-43.80;
590;-48.75;
591;-51.14;
592;-51.14;
593;-53.50;
594;-58.07;
595;-58.07;
596;-62.37;
597;-64.50;
598;-66.49;
599;-68.39;
600;-72.02;
601;-72.02;
602;-75.42;
603;-76.99;
604;-78.49;
605;-79.89;
606;-82.49;
607;-84.73;
608;-85.77;
609;-86.63;
610;-88.27;
611;-89.00;
612;-89.48;
613;-89.48;
614;-90.52;
615;-90.64;
616;-90.75;
617;-90.85;
618;-90.97;
619;-90.98;
620;-90.82;
621;-90.74;
622;-90.62;
623;-90.37;
624;-89.77;
625;-89.06;
626;-88.05;
627;-86.97;
628;-85.86;
629;-84.60;
630;-81.78;
631;-78.78;
632;-77.04;
633;-75.48;
634;-73.58;
635;-71.64;
636;-69.85;
637;-67.83;
638;-65.83;
639;-63.80;
640;-61.61;
641;-59.27;
642;-54.92;
643;-50.73;
644;-48.14;
645;-48.14;
646;-45.44;
647;-40.01;
648;-34.29;
649;-34.29;
650;-31.51;
651;-28.74;
652;-25.90;
653;-23.14;
654;-17.52;
655;-17.52;
656;-12.24;
657;-9.44;
658;-6.52;
659;-3.54;
660;-0.62;
661;2.28;
662;8.15;
663;10.87;
664;13.75;
665;16.63;
666;19.45;
667;22.27;
668;27.82;
669;30.55;
670;35.93;
671;38.55;
672;41.23;
673;43.73;
674;48.74;
675;51.13;
676;55.78;
677;58.04;
678;62.38;
679;64.41;
680;66.46;
681;68.37;
682;72.03;
683;73.71;
684;76.99;
685;78.48;
686;81.20;
687;82.52;
688;84.76;
689;84.76;
690;86.54;
691;87.45;
692;88.88;
693;89.45;
694;90.21;
695;90.50;
696;90.87;
697;90.89;
698;90.70;
699;90.70;
700;90.38;
701;90.36;
702;90.23;
703;89.72;
704;88.25;
705;87.16;
706;84.83;
707;83.55;
708;80.62;
709;79.06;
710;75.74;
711;73.83;
712;70.10;
713;67.95;
714;66.01;
715;63.90;
716;59.53;
717;57.27;
718;53.15;
719;50.76;
720;45.49;
721;45.49;
722;40.14;
723;37.33;
724;31.62;
725;28.84;
726;23.25;
727;20.47;
728;14.75;
729;12.13;
730;6.53;
731;3.55;
732;-2.34;
733;-2.34;
734;-8.13;
735;-10.99;
736;-16.71;
737;-19.50;
738;-25.14;
739;-27.87;
740;-30.61;
741;-33.31;
742;-38.62;
743;-41.25;
744;-46.24;
745;-48.71;
746;-53.47;
747;-55.79;
748;-58.03;
749;-60.20;
750;-64.45;
751;-66.44;
752;-70.20;
753;-71.98;
754;-75.38;
755;-76.96;
756;-79.86;
757;-79.86;
758;-82.47;
759;-83.63;
760;-85.75;
761;-86.62;
762;-88.27;
763;-88.98;
764;-90.06;
765;-90.51;
766;-90.63;
767;-90.73;
768;-90.80;
769;-90.81;
770;-90.71;
771;-90.71;
772;-90.59;
773;-90.52;
774;-89.79;
775;-89.09;
776;-87.06;
777;-84.70;
778;-83.37;
779;-81.88;
780;-80.45;
781;-77.14;
782;-77.14;
783;-73.67;
784;-71.71;
785;-67.91;
786;-67.91;
787;-63.85;
788;-61.67;
789;-57.07;
790;-54.97;
791;-50.81;
792;-45.51;
793;-42.63;
794;-40.06;
795;-37.35;
796;-31.40;
797;-28.71;
798;-25.98;
799;-23.21;
800;-17.69;
801;-15.13;
802;-9.52;
803;-6.51;
804;-3.56;
805;-0.65;
806;5.09;
807;7.92;
808;13.68;
809;13.68;
810;19.39;
811;22.21;
812;27.77;
813;30.49;
814;33.19;
815;35.88;
816;41.18;
817;41.18;
818;46.20;
819;48.70;
820;53.48;
821;57.98;
822;60.26;
823;62.30;
824;64.44;
825;68.31;
826;72.02;
827;73.70;
828;75.39;
829;76.89;
830;78.50;
831;79.79;
832;82.54;
833;83.58;
834;84.77;
835;85.73;
836;87.42;
837;87.42;
838;88.87;
839;89.43;
840;90.19;
841;90.19;
842;90.71;
843;90.88;
844;90.85;
845;90.71;
846;90.51;
847;90.37;
848;90.34;
849;90.23;
850;89.73;
851;89.09;
852;87.19;
853;86.07;
854;84.85;
855;83.59;
856;80.62;
857;79.09;
858;75.77;
859;73.85;
860;71.93;
861;14.81;
862;6.61;
863;0.64;
864;-2.26;
865;-8.07;
866;-90.74;
867;-90.70;
868;-88.20;
869;-85.99;
870;-84.81;
871;-82.03;
872;-80.59;
873;-77.31;
874;-73.83;
875;-70.05;
876;-68.04;
877;-63.97;
878;-61.78;
879;-54.91;
880;-52.82;
881;-45.65;
882;-40.23;
883;-32.57;
884;-29.28;
885;-23.36;
886;-17.65;
887;-11.95;
888;-9.18;
889;-0.83;
890;2.11;
891;10.78;
892;13.67;
893;22.17;
894;22.17;
895;30.45;
896;33.15;
897;38.44;
898;41.12;
899;48.66;
900;51.02;
901;55.69;
902;57.94;
903;64.38;
904;66.39;
905;70.17;
906;71.94;
907;76.89;
908;78.46;
909;81.17;
910;85.69;
911;87.39;
912;88.18;
913;89.41;
914;89.82;
915;90.18;
916;90.48;
917;90.84;
918;90.91;
919;90.73;
920;90.54;
921;90.31;
922;90.32;
923;89.75;
924;89.11;
925;87.21;
926;86.10;
927;83.61;
928;82.10;
929;79.14;
930;75.82;
931;73.90;
932;70.17;
933;66.09;
934;63.97;
935;61.86;
936;59.62;
937;55.09;
938;53.22;
939;48.29;
940;45.61;
941;40.24;
942;37.51;
943;31.73;
944;28.95;
945;23.35;
946;20.57;
947;12.12;
948;9.52;
949;3.74;
950;-2.19;
951;-8.13;
952;-10.88;
953;-19.38;
954;-22.22;
955;-27.77;
956;-30.50;
957;-38.52;
958;-41.14;
959;-46.13;
960;-48.61;
961;-55.70;
962;-60.12;
963;-64.37;
964;-66.35;
965;-71.92;
966;-73.66;
967;-76.89;
968;-78.41;
969;-82.44;
970;-83.58;
971;-85.71;
972;-86.59;
973;-88.96;
974;-89.44;
975;-90.65;
976;-90.65;
977;-91.00;
978;-90.99;
979;-90.76;
980;-90.71;
981;-89.80;
982;-89.11;
983;-87.05;
984;-85.90;
985;-81.86;
986;-80.45;
987;-75.59;
988;-75.59;
989;-69.94;
990;-65.94;
991;-61.75;
992;-59.37;
993;-53.27;
994;-50.91;
995;-45.60;
996;-40.15;
997;-34.36;
998;-31.47;
999;-23.30;
1000;-20.57;
1001;-15.31;
1002;-9.59;
1003;-0.74;
1004;2.10;
1005;7.82;
1006;13.58;
1007;19.28;
1008;22.10;
1009;27.66;
1010;30.39;
1011;38.38;
1012;41.07;
1013;48.64;
1014;48.64;
1015;55.65;
1016;57.89;
1017;62.22;
1018;64.38;
1019;70.15;
1020;71.95;
1021;75.35;
1022;76.86;
1023;81.14;
1024;82.44;
1025;84.69;
1026;85.64;
1027;88.17;
1028;88.86;
1029;89.82;
1030;90.19;
1031;90.86;
1032;90.90;
1033;90.54;
1034;90.35;
1035;90.21;
1036;89.76;
1037;88.33;
1038;87.21;
1039;83.65;
1040;82.13;
1041;77.39;
1042;75.82;
1043;70.21;
1044;68.08;
1045;61.92;
1046;59.68;
1047;53.29;
1048;50.92;
1049;42.90;
1050;40.30;
1051;31.81;
1052;29.03;
1053;20.64;
1054;20.64;
1055;12.27;
1056;6.70;
1057;-2.17;
1058;-2.17;
1059;-10.82;
1060;-13.65;
1061;-22.16;
1062;-24.97;
1063;-33.17;
1064;-35.82;
1065;-43.60;
1066;-43.60;
1067;-50.95;
1068;-53.33;
