series0
x;y;
0;63.10;
1;-50.24;
2;-45.15;
3;-42.44;
4;-39.84;
5;-37.10;
6;-34.36;
7;-31.74;
8;-31.74;
9;-28.66;
10;-25.65;
11;-22.85;
12;-20.22;
13;-20.22;
14;-20.22;
15;-17.45;
16;-14.62;
17;-12.00;
18;-12.00;
19;-9.24;
20;-6.39;
21;-6.39;
22;-3.41;
23;-0.49;
24;-0.49;
25;2.38;
26;5.24;
27;5.24;
28;5.24;
29;8.08;
30;10.94;
31;13.83;
32;13.83;
33;16.72;
34;19.54;
35;19.54;
36;22.33;
37;25.10;
38;25.10;
39;27.87;
40;30.60;
41;30.60;
42;33.28;
43;35.97;
44;35.97;
45;35.97;
46;38.62;
47;41.23;
48;43.78;
49;43.78;
50;46.27;
51;48.69;
52;48.69;
53;51.11;
54;53.47;
55;53.47;
56;55.80;
57;58.01;
58;58.01;
59;58.01;
60;60.22;
61;62.34;
62;64.41;
63;66.43;
64;68.36;
65;70.19;
66;71.99;
67;73.68;
68;75.28;
69;76.93;
70;78.41;
71;79.79;
72;81.27;
73;82.40;
74;83.62;
75;84.75;
76;85.62;
77;86.53;
78;87.38;
79;88.15;
80;88.79;
81;89.29;
82;89.62;
83;90.12;
84;90.47;
85;90.80;
86;90.75;
87;90.73;
88;90.57;
89;90.40;
90;90.40;
91;90.40;
92;90.20;
93;90.02;
94;89.86;
95;89.86;
96;89.72;
97;89.44;
98;89.44;
99;88.75;
100;88.03;
101;86.95;
102;86.95;
103;85.72;
104;84.62;
105;83.32;
106;83.32;
107;83.32;
108;81.88;
109;80.42;
110;78.89;
111;78.89;
112;77.17;
113;75.53;
114;75.53;
115;73.68;
116;71.69;
117;71.69;
118;69.92;
119;67.72;
120;67.72;
121;67.72;
122;65.71;
123;63.73;
124;61.54;
125;61.54;
126;59.37;
127;57.08;
128;57.08;
129;54.74;
130;52.93;
131;52.93;
132;50.56;
133;47.96;
134;47.96;
135;45.32;
136;42.48;
137;42.48;
138;42.48;
139;39.94;
140;37.23;
141;34.08;
142;34.08;
143;31.18;
144;28.52;
145;28.52;
146;25.85;
147;23.05;
148;23.05;
149;20.29;
150;17.41;
151;17.41;
152;14.67;
153;12.03;
154;9.29;
155;9.29;
156;6.46;
157;3.51;
158;3.51;
159;0.53;
160;-2.39;
161;-5.36;
162;-11.08;
163;-13.95;
164;-16.75;
165;-19.56;
166;-22.41;
167;-22.41;
168;-25.17;
169;-27.95;
170;-30.70;
171;-33.37;
172;-36.05;
173;-38.71;
174;-41.26;
175;-43.78;
176;-46.30;
177;-48.75;
178;-51.12;
179;-55.80;
180;-58.00;
181;-62.33;
182;-64.39;
183;-66.35;
184;-68.31;
185;-70.14;
186;-71.95;
187;-75.34;
188;-76.88;
189;-79.78;
190;-81.08;
191;-82.36;
192;-83.52;
193;-85.63;
194;-86.50;
195;-88.05;
196;-88.81;
197;-89.39;
198;-89.87;
199;-90.72;
200;-90.73;
201;-90.73;
202;-90.67;
203;-90.62;
204;-90.56;
205;-90.51;
206;-90.47;
207;-90.47;
208;-90.42;
209;-90.13;
210;-89.53;
211;-88.78;
212;-87.80;
213;-86.80;
214;-85.67;
215;-84.43;
216;-83.09;
217;-81.70;
218;-80.24;
219;-80.24;
220;-78.55;
221;-77.04;
222;-75.28;
223;-73.38;
224;-71.65;
225;-69.62;
226;-67.69;
227;-65.70;
228;-63.62;
229;-61.48;
230;-61.48;
231;-59.22;
232;-57.00;
233;-54.68;
234;-52.77;
235;-50.31;
236;-47.61;
237;-47.61;
238;-45.22;
239;-42.49;
240;-39.91;
241;-37.13;
242;-34.39;
243;-31.78;
244;-28.67;
245;-25.65;
246;-25.65;
247;-22.85;
248;-20.23;
249;-17.50;
250;-14.68;
251;-14.68;
252;-12.09;
253;-9.30;
254;-6.47;
255;-3.47;
256;-0.56;
257;2.32;
258;2.32;
259;5.18;
260;8.15;
261;10.87;
262;13.76;
263;13.76;
264;16.65;
265;19.47;
266;22.28;
267;25.04;
268;27.82;
269;30.54;
270;33.22;
271;35.93;
272;38.55;
273;41.18;
274;43.72;
275;46.22;
276;46.22;
277;48.63;
278;51.05;
279;53.43;
280;55.75;
281;57.97;
282;60.16;
283;62.30;
284;64.34;
285;64.34;
286;66.41;
287;68.29;
288;70.20;
289;72.03;
290;73.69;
291;75.28;
292;76.88;
293;76.88;
294;79.74;
295;81.17;
296;82.30;
297;82.30;
298;83.58;
299;84.70;
300;85.60;
301;86.51;
302;87.35;
303;88.14;
304;88.75;
305;89.33;
306;89.69;
307;90.18;
308;90.51;
309;90.67;
310;90.77;
311;90.75;
312;90.72;
313;90.56;
314;90.47;
315;90.47;
316;90.28;
317;90.07;
318;89.87;
319;89.69;
320;89.45;
321;88.75;
322;88.01;
323;88.01;
324;86.96;
325;84.62;
